Tessin-NA-Meilleure interprétation masculine-2001;1;Pane e tulipani;Bruno Ganz;Silvio Soldini
Suisse romande-NA-Meilleur film d'animation-2013;1;La nuit de l’ours ;Frédéric Guillaume, Samuel Guillaume ;NA
Suisse allemande-Drame/Famille-Meilleur film de fiction-2007;1;Vitus;Fredi M. Murer;NA
Suisse allemande-NA-Meilleure interprétation féminine-2002;1;Lieber Brad ;Lutz Konermann (ex aequo) ;Andrea Guyer, Carol Schuler 
Suisse romande-Drame/Famille-Meilleur film de fiction-2003;1;On dirait le sud;Vincent Pluss;NA
Suisse allemande-Drame/Société-Meilleure interprétation masculine-2011;1;Stationspiraten ;Michael Schaerer ;Scherwin Amini 
Suisse allemande-Docu/Guerre-Meilleur Documentaire-2007;1;Das kurze Leben des José Antonio Gutierrez ;Heidi Specogna;NA
Suisse allemande-NA-Meilleur court métrage-2012;1;Du&Ich;Esen Isik;NA
Suisse allemande-Docu/Musique-Meilleur Documentaire-1999;1;Die Regierung (Le gouvernement);Christian Davi ;NA
Suisse allemande-NA-Meilleure Musique de film-2013;1;More Than Honey;Markus Imhoof;Peter Scherer
Suisse allemande-NA-Meilleure interprétation masculine-2000;1;Grosse Gefühle;Christof Schertenleib ;Stefan Suske 
Suisse allemande-NA-Meilleur court métrage-2005;1;Chyenne;Alexander Meier ;NA
Suisse romande-Drame/Famille-Meilleur film de fiction-2009;1;Home;Ursula Meier;NA
Suisse allemande-Drame/Homosexualité-Meilleur film de fiction-1999;1;F. est un salaud;Marcel Gisler;NA
Suisse allemande-NA-Meilleur second rôle-2012;1;Der Verdingbub ;Markus Imboden ;Stefan Kurt 
Suisse romande-NA-Meilleur court métrage-2004;1;L’Escalier;Frédéric Mermoud ;NA
Suisse allemande-NA-Meilleur court métrage-2000;1;Babami Hirsizlar Caldi (Le père volé) ;Esen Isik;NA
Suisse allemande-Docu/Nature-Meilleur Documentaire-2013;1;More Than Honey;Markus Imhoof;NA
Suisse romande-Drame/Adolescence-Meilleur scénario-2010;1;Complices;Frédéric Mermoud;Frédéric Mermoud
Suisse allemande-Drame/Amour-Meilleur espoir-2008;1;Der Freund ;Micha Lewinsky;Philippe Graber 
